"ResultFile","ResultRoot","LegacyMakespan","FinishedTasks","TaskMetricFile","TaskRows","UnfinishedTasks","ActualMakespan","AllTasksCompleted","DeltaActualMinusLegacy","PlannerErrors","ScheduleErrors","EntryTimeouts","AuditStatus"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w15_r1p0\seed_2.json","w15_r1p0","299","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w15_r1p0\seed_2.task_metrics.csv","500","0","300","True","1","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w5_r0p5\seed_0.json","w5_r0p5","300","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w5_r0p5\seed_0.task_metrics.csv","500","0","323","True","23","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w5_r0p5\seed_1.json","w5_r0p5","299","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w5_r0p5\seed_1.task_metrics.csv","500","0","321","True","22","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w5_r0p5\seed_2.json","w5_r0p5","308","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w5_r0p5\seed_2.task_metrics.csv","500","0","330","True","22","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w5_r0p75\seed_0.json","w5_r0p75","304","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w5_r0p75\seed_0.task_metrics.csv","500","0","319","True","15","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w5_r0p75\seed_1.json","w5_r0p75","305","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w5_r0p75\seed_1.task_metrics.csv","500","0","312","True","7","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w5_r0p75\seed_2.json","w5_r0p75","296","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w5_r0p75\seed_2.task_metrics.csv","500","0","318","True","22","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w5_r1p0\seed_0.json","w5_r1p0","303","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w5_r1p0\seed_0.task_metrics.csv","500","0","316","True","13","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w5_r1p0\seed_1.json","w5_r1p0","308","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w5_r1p0\seed_1.task_metrics.csv","500","0","316","True","8","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w5_r1p0\seed_2.json","w5_r1p0","319","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w5_r1p0\seed_2.task_metrics.csv","500","0","322","True","3","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_static\taskmatcher_static_0.json","table2_f2_n50_taskmatcher_static","303","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_static\taskmatcher_static_0.task_metrics.csv","500","0","310","True","7","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_static\taskmatcher_static_1.json","table2_f2_n50_taskmatcher_static","297","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_static\taskmatcher_static_1.task_metrics.csv","500","0","305","True","8","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_static\taskmatcher_static_2.json","table2_f2_n50_taskmatcher_static","286","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_static\taskmatcher_static_2.task_metrics.csv","500","0","297","True","11","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_static\taskmatcher_static_3.json","table2_f2_n50_taskmatcher_static","302","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_static\taskmatcher_static_3.task_metrics.csv","500","0","317","True","15","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_static\taskmatcher_static_4.json","table2_f2_n50_taskmatcher_static","304","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_static\taskmatcher_static_4.task_metrics.csv","500","0","307","True","3","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\flow_unit_0.json","f10_n100","165","500","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\flow_unit_0.task_metrics.csv","500","0","169","True","4","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\flow_unit_1.json","f10_n100","172","500","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\flow_unit_1.task_metrics.csv","500","0","176","True","4","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\flow_unit_2.json","f10_n100","169","500","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\flow_unit_2.task_metrics.csv","500","0","172","True","3","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\flow_unit_3.json","f10_n100","171","500","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\flow_unit_3.task_metrics.csv","500","0","172","True","1","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\flow_unit_4.json","f10_n100","166","500","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\flow_unit_4.task_metrics.csv","500","0","168","True","2","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\taskmatcher_fixed_0.json","f10_n100","169","500","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\taskmatcher_fixed_0.task_metrics.csv","500","0","173","True","4","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\taskmatcher_fixed_1.json","f10_n100","175","500","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\taskmatcher_fixed_1.task_metrics.csv","500","0","178","True","3","0","0","0","valid"
